name,arm,c_px,L_over_A,iou,abs_err_cd_mean,cd_ref,cd_pert,ler_ref,ler_pert,lwr_ref,lwr_pert
00000028,rademacher,2.0,0.027524678878746416,0.9482472684703434,0.216064453125,73.247314453125,73.03125,3.740323418568096,6.930745193053925,5.189195007283946,9.625472576525034
00000028,gaussian,2.0,0.027524678878746416,0.9482293031692136,0.0262451171875,73.247314453125,73.2210693359375,3.740323418568096,8.303877784141044,5.189195007283946,11.777281598273124
00000028,constant,3.0,0.027524678878746416,0.928629467236013,5.625,73.247314453125,78.872314453125,3.740323418568096,3.740323418568096,5.189195007283946,5.189195007283946
00000028,rademacher,3.0,0.027524678878746416,0.9235286849668085,0.158203125,73.247314453125,73.089111328125,3.740323418568096,9.523066262961287,5.189195007283946,13.537194605889525
00000028,gaussian,3.0,0.027524678878746416,0.9243402050472934,0.3228235031684932,73.247314453125,73.5701379562935,3.740323418568096,11.59013211039098,5.189195007283946,16.445328669042873
00000030,constant,1.0,0.026758181315956534,0.9757398081818254,1.875,75.577392578125,77.452392578125,3.738769816912795,3.7387698169127943,5.3701167098846945,5.3701167098846945
00000030,rademacher,1.0,0.026758181315956534,0.9746204717876716,0.0645751953125,75.577392578125,75.5128173828125,3.738769816912795,4.779370617847377,5.3701167098846945,6.906657331570408
00000030,gaussian,1.0,0.026758181315956534,0.9748681867244461,0.067626953125,75.577392578125,75.64501953125,3.738769816912795,5.339821246613541,5.3701167098846945,7.550291631827575
00000030,constant,2.0,0.026758181315956534,0.9526449750398562,3.75,75.577392578125,79.327392578125,3.738769816912795,3.738769816912794,5.3701167098846945,5.3701167098846945
00000030,rademacher,2.0,0.026758181315956534,0.949826776915778,0.133056640625,75.577392578125,75.4443359375,3.738769816912795,6.913118281867666,5.3701167098846945,9.687158462860367
00000030,gaussian,2.0,0.026758181315956534,0.9513832989667986,0.0797119140625,75.577392578125,75.6571044921875,3.738769816912795,8.192784509788616,5.3701167098846945,11.592064229917819
00000030,constant,3.0,0.026758181315956534,0.9306377151035098,5.625,75.577392578125,81.202392578125,3.738769816912795,3.7387698169127948,5.3701167098846945,5.3701167098846945
00000030,rademacher,3.0,0.026758181315956534,0.9257410860175359,0.22119140625,75.577392578125,75.356201171875,3.738769816912795,9.490847814190186,5.3701167098846945,13.756297546384337
00000030,gaussian,3.0,0.026758181315956534,0.924002451683981,0.2159423828125,75.577392578125,75.7933349609375,3.738769816912795,11.936721289749611,5.3701167098846945,16.84067556740021
00000033,constant,1.0,0.02407606954597082,0.9766816092477131,2.0,83.8330078125,85.8330078125,4.534378495174727,4.534378495174726,6.70343692923109,6.70343692923109
00000033,rademacher,1.0,0.02407606954597082,0.9763913281317479,0.068359375,83.8330078125,83.7646484375,4.534378495174727,5.413605419822501,6.70343692923109,7.90073938070766
00000033,gaussian,1.0,0.02407606954597082,0.9768008221473129,0.0068359375,83.8330078125,83.826171875,4.534378495174727,5.988010060037936,6.70343692923109,8.679459003857435
00000033,constant,2.0,0.02407606954597082,0.954433891200596,4.0,83.8330078125,87.8330078125,4.534378495174727,4.534378495174725,6.70343692923109,6.70343692923109
00000033,rademacher,2.0,0.02407606954597082,0.9533472946211103,0.05859375,83.8330078125,83.7744140625,4.534378495174727,7.573406321298427,6.70343692923109,10.73289739482416
00000033,gaussian,2.0,0.02407606954597082,0.9532987819794398,0.01171875,83.8330078125,83.8212890625,4.534378495174727,8.8843775516129,6.70343692923109,12.70590193682574
00000033,constant,3.0,0.02407606954597082,0.9331822283099066,6.0,83.8330078125,89.8330078125,4.534378495174727,4.534378495174726,6.70343692923109,6.70343692923109
00000033,rademacher,3.0,0.02407606954597082,0.9308233414618368,0.05859375,83.8330078125,83.7744140625,4.534378495174727,10.098925352604153,6.70343692923109,14.60919339400146
00000033,gaussian,3.0,0.02407606954597082,0.9309994128207362,0.1396484375,83.8330078125,83.97265625,4.534378495174727,12.184333220315388,6.70343692923109,17.54638096686317
00000036,constant,1.0,0.026196611290294377,0.9761490239890761,1.875,76.7960205078125,78.6710205078125,3.8214941221888683,3.8214941221888683,5.401408777415359,5.401408777415359
00000036,rademacher,1.0,0.026196611290294377,0.9750734933855953,0.0560302734375,76.7960205078125,76.739990234375,3.8214941221888683,4.827013857144064,5.401408777415359,6.824403742753418
00000036,gaussian,1.0,0.026196611290294377,0.975272130704452,0.144287109375,76.7960205078125,76.6517333984375,3.8214941221888683,5.474920486413341,5.401408777415359,7.5869666724523555
00000036,constant,2.0,0.026196611290294377,0.9534136168819753,3.75,76.7960205078125,80.5460205078125,3.8214941221888683,3.821494122188869,5.401408777415359,5.401408777415359
00000036,rademacher,2.0,0.026196611290294377,0.9507646122976824,0.013427734375,76.7960205078125,76.7825927734375,3.8214941221888683,7.013591871889167,5.401408777415359,9.737175055795525
00000036,gaussian,2.0,0.026196611290294377,0.9511271127050549,0.30908203125,76.7960205078125,76.4869384765625,3.8214941221888683,8.36777762141389,5.401408777415359,11.783265020296444
00000036,constant,3.0,0.026196611290294377,0.9317186815009657,5.625,76.7960205078125,82.4210205078125,3.8214941221888683,3.8214941221888683,5.401408777415359,5.401408777415359
00000036,rademacher,3.0,0.026196611290294377,0.9270287165940913,0.060791015625,76.7960205078125,76.7352294921875,3.8214941221888683,9.542647678776245,5.401408777415359,13.325196230423995
00000036,gaussian,3.0,0.026196611290294377,0.9286077052553408,0.1495361328125,76.7960205078125,76.646484375,3.8214941221888683,11.523848006244092,5.401408777415359,16.55978184553859
