split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000625,0.40575027,5.0,5.0,2560.0,41.548828,0.91809866,2.754296,1.9048986,1.8555334,1.880216,0.048221398,0.076119474,0.069756399,0.006103612221642352,0.0002441400000000038,0.0,False
in_dist,00000626,0.32120514,4.0,4.0,2048.0,41.114258,0.86235659,2.5870698,1.9203879,1.9121407,1.9162643,0.046612504,0.064615385,0.059194132,0.00603640904289382,0.0002403300000000108,0.0,False
in_dist,00000630,0.42245102,6.0,6.0,2650.0,41.791321,2.4081599,7.2244796,5.4261654,3.7416663,4.5839159,0.048602356,0.74040707,0.55755756,0.006541414313882554,0.00043488000000002636,0.0,False
in_dist,00000633,0.38183975,6.0,6.0,2443.0,40.973803,1.4117292,4.2351875,2.5250486,2.6265985,2.5758236,0.053181922,0.92871626,0.4028777,0.010349190270678599,0.0010337799999999842,0.0,False
in_dist,00000634,0.24710846,3.0,3.0,1536.0,42.173177,0.89859928,2.6957978,1.8407725,2.0054889,1.9231307,0.044167485,0.072248293,0.070482739,0.006634932925875692,0.0004043599999999925,0.0,False
in_dist,00000637,0.3859024,6.0,6.0,2421.0,41.785213,2.3415939,7.0247816,4.856582,5.035719,4.9461505,0.023923021,0.97497078,0.16460867,0.009152023731380798,0.0013084399999999663,0.0,False
in_dist,00000640,0.5777359,8.0,8.0,4096.0,36.975098,0.92227007,2.7668102,1.9940966,1.7872283,1.8906625,0.037349472,0.14464708,0.07773644,0.006569161883063779,0.0008201599999999587,0.0,False
in_dist,00000646,0.32071686,4.0,4.0,2048.0,41.051758,0.94186331,2.8255899,2.094936,2.1648424,2.1298892,0.038995321,0.073109595,0.07946027,0.006743483704177433,0.00027465999999998214,0.0,False
in_dist,00000649,0.24950409,3.0,3.0,1536.0,42.585286,1.0122124,3.0366372,2.2182172,2.2739789,2.246098,0.042597477,0.061712558,0.05872622,0.00782941890096378,1.9069999999982157e-05,0.0,False
in_dist,00000651,0.62155914,8.0,8.0,4096.0,39.779785,0.85084752,2.5525425,1.9062099,1.9600276,1.9331188,0.033692354,0.070233129,0.070436557,0.0060765652791688884,6.86699999999929e-05,0.0,False
in_dist,00000656,0.36927032,5.0,5.0,2560.0,37.813281,0.82440919,2.4732276,1.8883772,1.5417138,1.7150455,0.041396892,0.10450372,0.07459554,0.006225082922662772,0.00029372999999999205,0.0,False
