split,model,name,disagreement,abs_err_cd_mean,pred_fg_dev,pred_cc_dev
standard,segformer,00000511,0.007373371747014246,4.5497354,0.00023652000000001783,0.0
standard,unet,00000523,0.00814018523005744,0.068304197,0.00038527999999998785,0.0
standard,deeplabv3plus,00000523,0.010311137874151943,0.10164533,0.000755310000000009,0.0
standard,hrnet,00000523,0.00790461857870195,0.10532718,0.0002822799999999681,0.0
standard,segformer,00000523,0.008382262633829796,0.070953886,0.0002822799999999681,0.0
standard,unet,00000528,0.005919348217162224,0.061848958,8.39200000000151e-05,0.0
standard,deeplabv3plus,00000528,0.007874416967518783,0.020833333,0.0004806500000000269,0.0
standard,hrnet,00000528,0.006010402747363308,0.0546875,8.39200000000151e-05,0.0
standard,segformer,00000528,0.006218008466358449,0.097981771,0.0005073600000000122,0.0
standard,unet,00000573,0.007704801541135287,0.13948057,5.340000000003675e-05,0.0
standard,deeplabv3plus,00000573,0.010550069240520266,0.066542252,0.0011062600000000256,0.0
standard,hrnet,00000573,0.007541124931085275,0.1475966,5.340000000003675e-05,0.0
standard,segformer,00000573,0.008054533309898582,0.18737161,0.00037765000000000715,0.0
standard,unet,00000577,0.0060296236945921455,0.0546875,0.00010300000000001974,0.0
standard,deeplabv3plus,00000577,0.00860993995686965,0.078125,0.0010414200000000151,0.0
standard,hrnet,00000577,0.0057894037224052175,0.041992188,0.00010300000000001974,0.0
standard,segformer,00000577,0.0065377181537852325,0.087890625,0.00035857999999999723,0.0
standard,unet,00000581,0.006792528251128083,0.030273438,5.340999999997598e-05,0.0
standard,deeplabv3plus,00000581,0.008899520814283357,0.062988281,0.0007820099999999996,0.0
standard,hrnet,00000581,0.006907229554863448,0.0390625,6.86699999999929e-05,0.0
standard,segformer,00000581,0.007047797179826731,0.037109375,5.340999999997598e-05,0.0
standard,unet,00000592,0.008899924956918603,0.14131905,0.0004692099999999977,0.0
standard,deeplabv3plus,00000592,0.011962165370027034,0.035039575,0.0010642999999999625,0.0
standard,hrnet,00000592,0.008623129056172463,0.12441732,0.00028228999999996285,0.0
standard,segformer,00000592,0.009213025770354766,0.13550088,0.00028228999999996285,0.0
standard,unet,00000596,0.005400432169850533,0.044921875,0.00013351000000000335,0.0
