fold,model,name,iou,abs_err_cd_mean,abs_err_lwr_3sigma,abs_err_ler_mean_3sigma
0,deeplabv3plus,769,0.9772451296124356,0.12239583,0.23063005,0.14072936
0,deeplabv3plus,770,0.9871977053228946,0.062011719,0.31701718,0.22391974
0,deeplabv3plus,776,0.9823605883194276,0.15575672,0.62731058,0.2580574
0,deeplabv3plus,777,0.9864441648970134,0.014892578,0.35829214,0.25254168
0,deeplabv3plus,783,0.985680797581471,0.04752553,0.53477934,0.35030002
0,deeplabv3plus,785,0.9868983713925328,0.018554688,0.48421474,0.2953489
0,deeplabv3plus,787,0.985406660684202,0.036210988,0.52116072,0.31234781
0,deeplabv3plus,819,0.9864847132912943,0.051171875,0.22230207,0.13447985
0,deeplabv3plus,823,0.8679967315115397,,,
0,hrnet,6,0.9737319518207398,4.0373063,0.13865386,0.020992486
0,hrnet,16,0.9895398377032553,0.067382812,0.25275152,0.18406837
0,hrnet,18,0.9896679999522003,0.030273438,0.28376189,0.2141704
0,hrnet,19,0.988135480435861,0.30342708,0.22049629,0.13725452
0,hrnet,25,0.9919571312101167,0.17424755,0.20404651,0.13705948
0,hrnet,26,0.9893283218945674,0.10900515,0.28847115,0.098883935
0,hrnet,66,0.9886996636474977,0.0125,0.15132049,0.1126679
0,hrnet,73,0.9883665194122447,0.0056423611,0.19807488,0.14211133
0,hrnet,84,0.9888967728358707,0.092636698,0.34824802,0.20500098
0,hrnet,85,0.9966878693204517,0.32550091,0.77813036,0.40528499
0,hrnet,94,0.9856723643195117,0.11875767,0.034357809,0.019554429
0,hrnet,97,0.14034663563963376,80.045898,29.730752,11.43605
0,hrnet,99,0.9895956665862692,0.0035919114,0.3723259,0.24103482
0,hrnet,103,0.9903856625960584,0.051757812,0.29336242,0.20080085
0,hrnet,107,0.9897590572714272,0.00027901786,0.26665177,0.19938003
0,hrnet,111,0.989599895249818,0.002734375,0.29375165,0.19553564
0,hrnet,117,0.9897124592867449,0.046142578,0.18427537,0.17568673
0,hrnet,118,0.9900216814341388,0.036865234,0.20221656,0.13751774
0,hrnet,127,0.9732275610251885,0.70703125,0.24496445,0.19827263
0,hrnet,129,0.989514164382794,0.018554688,0.21223239,0.080312639
0,hrnet,130,0.988944097393404,0.038085938,0.18642583,0.12930211
0,hrnet,141,0.9901024989816996,0.010986328,0.25146902,0.14742268
0,hrnet,142,0.988261445636928,0.003125,0.18958205,0.1214235
0,hrnet,149,0.9895913286023273,0.03984375,0.28589442,0.18951647
0,hrnet,151,0.9876698290959058,0.15551758,0.2127261,0.11331694
0,hrnet,160,0.9898724044234064,0.010703364,0.18471469,0.12155229
0,hrnet,161,0.9898719153345632,0.0296875,0.25526006,0.13892797
0,hrnet,167,0.9895312103665694,0.011997768,0.15317025,0.1110516
0,hrnet,170,0.9879301489460832,0.20042397,0.62952492,0.31817678
0,hrnet,173,0.9890720327910321,0.078962054,0.10049579,0.073252196
0,hrnet,179,0.990521194235214,0.01640625,0.19723103,0.13961632
0,hrnet,183,0.9830324886325567,0.35102491,0.12132677,0.045829992
0,hrnet,187,0.9894839219494319,0.055419922,0.2384413,0.11719229
0,hrnet,191,0.9840043830128549,0.11746164,0.072525007,0.061946113
0,hrnet,193,0.9890104787399283,0.049479167,0.23907826,0.11266524
